Experiment: EH_20230112_CryptoMob_plate1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	65280	N22	Sample 334			0	
True	65280	N23	Sample 335			0	
True	65280	N24	Sample 336			0	
True	255	O1	Sample 337	20.61		0	
True	255	O2	Sample 338	21.77		0	
True	255	O3	Sample 339	12.41		0	
True	255	O4	Sample 340	20.75		0	
True	255	O5	Sample 341	15.67		0	
True	255	O6	Sample 342	20.54		0	
True	255	O7	Sample 343	20.53		0	
True	255	O8	Sample 344	21.55		0	
True	255	O9	Sample 345	12.46		0	
True	255	O10	Sample 346	20.78		0	
True	255	O11	Sample 347	15.68		0	
True	255	O12	Sample 348	19.95		0	
True	255	O13	Sample 349	20.42		0	
True	255	O14	Sample 350	21.63		0	
True	255	O15	Sample 351	12.31		0	
True	255	O16	Sample 352	20.64		0	
True	255	O17	Sample 353	15.53		0	
True	255	O18	Sample 354	20.65		0	
True	255	O19	Sample 355	32.37		0	
True	65280	O20	Sample 356			0	
True	65280	O21	Sample 357			0	
True	65280	O22	Sample 358			0	
True	255	O23	Sample 359	32.87		0	
True	65280	O24	Sample 360			0	
